UMPD CASENUMBER,OCCURRED DATE TIMELOCATION,REPORT DATE TIME,TYPE,DISPOSITION,LOCATION
2021-00009970,02/06/21 11:44,02/06/21 11:44,Injured/Sick Person,CBE,7500 block of  Dickinson  Ave
2021-00010079,02/06/21 21:43,02/06/21 21:43,CDS Violation,CBE,Jull Hall at 4196  Stadium  Dr
2021-00010104,10/01/20,02/07/21 00:23,Other Incident,CBE,3900 block of  Denton Service  Ln
2021-00010112,02/07/21 00:55,02/07/21 00:55,DWI/DUI,Arrest,Baltimore  Ave
2021-00010467,02/08/21 15:28,02/08/21 15:57,Vandalism,Arrest,7500 block of  Regents  Dr
2021-00010558,02/08/21 23:42,02/08/21 23:42,CDS Violation,Arrest,4000 block of  Stadium  Dr
2021-00010813,02/09/21 17:38,02/09/21 17:38,CDS Violation,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
2021-00010938,02/10/21 04:35,02/10/21 04:35,Suspicious Activity,CBE,7500 block of  Mowatt  Ln
2021-00011070,02/10/21 14:27,02/10/21 14:27,Other Incident,Active/Pending,"89, C. D. Mote, Jr. Engineering Laboratory at 8136  Paint Branch  Dr"
2021-00011071,02/10/21 13:30,02/10/21 14:29,Assist Other Agency,CBE,4400 block of  Lehigh  Rd
2021-00011131,02/10/21 18:32,02/10/21 18:32,Other Incident,CBE,7700 block of  Adelphi  Rd
2021-00011418,02/10/21 16:40,02/11/21 17:47,Other Incident,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00011518,02/11/21 23:33,02/11/21 23:33,DWI/DUI,Arrest,"Motor Pool, Severn, Severn Building, Terp Trader, Washington Post Building at 5245  Greenbelt  Rd"
2021-00011566,02/12/21 02:16,02/12/21 02:16,CDS Violation,Summons Issued,4000 block of  Stadium  Dr
2021-00011689,01/01/17,02/12/21 11:38,Fraud,Active/Pending,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00011719,02/12/21 13:30,02/12/21 13:50,Injured/Sick Person,CBE,7400 block of  Preinkert  Dr
2021-00011762,02/12/21 17:41,02/12/21 17:41,CDS Violation,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
2021-00011766,02/12/21 18:00,02/12/21 18:30,Injured/Sick Person,CBE,4600 block of  Hotel  Dr
2021-00011882,02/13/21 00:05,02/13/21 00:05,Alcohol Violation,CBE,8000 block of  Hagerstown  Dr
2021-00011902,02/13/21 00:42,02/13/21 00:42,Injured/Sick Person,CBE,3900 block of  Denton Service  Ln
2021-00011935,02/13/21 02:34,02/13/21 02:34,Injured/Sick Person,CBE,"Commons 1, SCC 1, South Campus Commons 1 at 4250  Lehigh  Rd"
2021-00011954,02/13/21 03:53,02/13/21 03:53,DWI/DUI,Arrest,University  Blvd
2021-00012094,02/04/21 21:30,02/13/21 16:41,Theft,Arrest,3900 block of  Denton Service  Ln
2021-00012183,02/13/21 22:42,02/13/21 22:42,Animal Complaint,CBE,Baltimore  Ave
2021-00012219,02/13/21 23:00,02/13/21 23:59,Injured/Sick Person,CBE,McKeldin Mall
2021-00012255,02/14/21 01:29,02/14/21 01:29,Injured/Sick Person,CBE,4300 block of  Guilford  Dr
2021-00012274,02/14/21 02:11,02/14/21 02:19,Alcohol Violation,CBE,3900 block of  Denton Service  Ln
2021-00012282,02/14/21 03:48,02/14/21 03:48,DWI/DUI,Arrest,Frat Row
2021-00012526,02/15/21 00:24,02/15/21 00:24,Fire,CBE,7500 block of  Calvert Service  Ln
2021-00012665,01/22/21 09:53,02/15/21 13:13,Other Incident,CBE,8500 block of  Paint Branch  Dr
2021-00012911,02/16/21 10:50,02/16/21 11:04,Emergency Petition,CBE,Cumberland Hall at 4250  Farm  Dr
2021-00013155,02/17/21 07:17,02/17/21 07:17,Trespassing,Arrest,4100 block of  Union  Ln
2021-00013209,02/17/21 12:14,02/17/21 12:14,Fire,CBE,7600 block of  Baltimore  Ave
2021-00013454,02/18/21 06:00,02/18/21 12:56,Theft from Auto,Investigation Pending,8000 block of  Regents  Dr
2021-00013469,02/18/21 14:56,02/18/21 14:56,Dept Property Damage/Loss,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00013702,02/15/21 08:00,02/19/21 10:18,Other Incident,CBE,8200 block of  Baltimore  Ave
2021-00013748,02/19/21 14:27,02/19/21 14:27,CDS Violation,CBE,"98, Centreville, Centreville Hall at 4243  Valley  Dr"
2021-00013803,02/19/21 17:22,02/19/21 17:22,Injured/Sick Person,CBE,"98, Centreville, Centreville Hall at 4243  Valley  Dr"
2021-00013883,02/20/21 00:37,02/20/21 00:37,CDS Violation,Arrest,Baltimore  Ave
2021-00013937,02/20/21 06:03,02/20/21 08:10,Damage to State Property,CBE,8200 block of  Paint Branch  Dr
2021-00013953,02/20/21 06:00,02/20/21 10:59,Other Incident,Investigation Pending,8100 block of  La Plata  Dr
2021-00014073,02/20/21 18:05,02/20/21 18:05,Injured/Sick Person,CBE,7600 block of  Library  Ln
2021-00014077,02/20/21 20:17,02/20/21 20:17,Emergency Petition,CBE,8100 block of  Baltimore  Ave
2021-00014082,02/20/21 07:00,02/20/21 20:53,Vandalism,Investigation Pending,"Easton, Easton Hall at 3917  Denton Service  Ln"
2021-00014087,02/20/21 21:57,02/20/21 21:57,CDS Violation,Arrest,"Center for Young Children, CYC at 4028  Valley  Dr"
2021-00014123,02/20/21 23:49,02/20/21 23:49,DWI/DUI,Arrest,Baltimore  Ave
2021-00014130,02/21/21 00:18,02/21/21 00:18,CDS Violation,Arrest,4400 block of  Knox  Rd
2021-00014145,02/21/21 01:57,02/21/21 01:57,DWI/DUI,Arrest,Knox  Rd
2021-00014295,02/21/21 19:44,02/21/21 19:44,CDS Violation,Arrest,7200 block of  Baltimore  Ave
2021-00014395,02/19/21 14:00,02/22/21 06:16,Burglary,Arrest,4000 block of  Union  Dr
2021-00014469,02/19/21 17:00,02/22/21 12:50,Dept Property Damage/Loss,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00014470,02/21/21 16:22,02/22/21 12:54,Telephone/EMail Misuse,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00014513,02/20/21 14:59,02/22/21 17:39,Other Incident,CBE,4100 block of  Terrapin  Trl
2021-00014587,02/22/21 21:40,02/22/21 22:05,Assist Other Agency,CBE,4700 block of  Tecumseh  St
2021-00014710,02/22/21 16:00,02/23/21 07:37,Damage to State Property,Active/Pending,8100 block of  Paint Branch  Dr
2021-00014720,02/23/21 08:53,02/23/21 08:53,Trespassing,Arrest,4100 block of  Union  Ln
2021-00014831,02/23/21 19:43,02/23/21 19:43,Injured/Sick Person,CBE,"14, Harford Hall at 7660  Regents  Dr"
2021-00015089,02/24/21 12:53,02/24/21 12:53,Other Service Call,CBE,
2021-00015112,02/24/21 15:23,02/24/21 15:23,Injured/Sick Person,CBE,8000 block of  Regents  Dr
2021-00015314,02/25/21 00:55,02/25/21 00:55,DWI/DUI,Arrest,Greenbelt  Rd
2021-00015433,02/25/21 09:47,02/25/21 09:47,Check on the  Welfare,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00015667,02/26/21 00:11,02/26/21 00:11,CDS Violation,Arrest,Hotel  Dr
2021-00015725,02/26/21 03:23,02/26/21 03:23,Weapon Violation,Arrest,University  Blvd
2021-00015789,02/26/21 11:52,02/26/21 11:52,CDS Violation,Arrest,University  Blvd
2021-00015811,02/24/21 16:00,02/26/21 13:14,Theft,Summons Issued,340 block of  Ehrensberger  Dr
2021-00015845,02/24/21 11:50,02/26/21 15:40,Burglary,Investigation Pending,"88, Martin Hall at 4298  Campus  Dr"
2021-00015891,02/26/21 18:45,02/26/21 18:45,Warrant/Summons Service,Arrest,8300 block of  Baltimore  Ave
2021-00016016,02/27/21 02:30,02/27/21 02:27,Noise Complaint,CBE,"70, Caroline Hall at 7154  Preinkert  Dr"
2021-00016019,02/27/21 03:35,02/27/21 03:23,Assist Other Agency (Title IX Related),CBE,8300 block of  Baltimore  Ave
2021-00016082,02/26/21 21:00,02/27/21 12:01,Assist Other Agency,CBE,8900 block of  34th  Ave
2021-00016167,02/27/21 17:03,02/27/21 17:20,Assist Other Agency (Title IX Related),CBE,4500 block of  College  Ave
2021-00016420,02/28/21 21:53,02/28/21 21:53,Injured/Sick Person,CBE,"61, Queen Anne, Queen Anne's Hall at 7645  Preinkert  Dr"
2021-00016708,03/01/21 07:00,03/01/21 19:51,Fraud,Investigation Pending,4200 block of  Farm  Dr
2021-00017093,03/02/21 22:44,03/02/21 22:44,CDS Violation,Arrest,8100 block of  La Plata  Dr
2021-00017308,03/03/21 17:19,03/03/21 17:19,Other Incident,CBE,"College Park Fire Station, Company 12 at 8115  Baltimore  Ave"
2021-00017309,03/03/21 17:10,03/03/21 17:20,Other Incident,CBE,4100 block of  Campus  Dr
2021-00017379,03/03/21 23:03,03/03/21 23:03,CDS Violation,CBE,4200 block of  Valley  Dr
2021-00017409,03/04/21 00:30,03/04/21 00:30,DWI/DUI,Arrest,Baltimore  Ave
2021-00017414,03/04/21 00:18,03/04/21 00:43,Injured/Sick Person,CBE,4300 block of  Hartwick  Rd
2021-00017430,03/04/21 02:36,03/04/21 02:36,DWI/DUI,Arrest,8400 block of  Baltimore  Ave
2021-00017520,03/04/21 09:17,03/04/21 09:17,Assault,CBE,7700 block of  Diamondback  Dr
2021-00017544,03/04/21 10:53,03/04/21 10:53,Telephone/EMail Misuse,Investigation Pending,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00017550,03/04/21 12:08,03/04/21 12:08,Injured/Sick Person,CBE,6900 block of  Preinkert  Dr
2021-00017556,03/04/21 09:00,03/04/21 13:24,Suspicious Activity,CBE,"Edward St. John Learning and Teaching Center, ESJ at 4131  Campus  Dr"
2021-00017558,03/01/21 18:52,03/04/21 13:49,Threat Assessment,Active/Pending,7700 block of  Baltimore  Ave
2021-00017809,03/05/21 07:00,03/05/21 08:19,Suspicious Activity,CBE,7700 block of  Alumni  Dr
2021-00017910,03/05/21 17:02,03/05/21 17:02,Assist Other Agency,CBE,7300 block of  Princeton  Ave
2021-00018263,03/06/21 19:25,03/06/21 19:25,Suspicious Activity,CBE,4000 block of  Fieldhouse  Dr
2021-00018294,03/06/21 21:27,03/06/21 21:27,CDS Violation,Arrest,7800 block of  Regents  Dr
2021-00018356,03/07/21 00:18,03/07/21 00:18,Injured/Sick Person,CBE,"Cornerstone, Cornerstone Grill at 7325  Baltimore  Ave"
2021-00018357,03/07/21 00:21,03/07/21 00:21,CDS Violation,Arrest,4100 block of  Farm  Dr
2021-00018384,03/07/21 03:15,03/07/21 03:15,Injured/Sick Person,CBE,"Delta Gamma, Delta Gamma Sorority at 4518  Knox  Rd"
2021-00018503,03/05/21 17:30,03/07/21 15:54,Accident - Departmental,CBE,1100 block of  Mermaid Dr
2021-00018795,03/08/21 11:00,03/08/21 11:15,Hazardous Condition,CBE,8000 block of  Greenmead  Dr
2021-00019024,06/23/20 03:23,03/09/21 09:11,Harassment/Stalking,Active/Pending,4500 block of  Campus  Dr
2021-00019180,11/01/20 00:01,03/09/21 18:10,Theft,Investigation Pending,3400 block of  Tulane  Dr
2021-00019378,02/02/21 08:00,03/10/21 11:27,Harassment/Stalking,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00019410,03/10/21 15:12,03/10/21 15:12,Dept Property Damage/Loss,CBE,Graduate Hills #291 at 3413  Tulane  Dr
2021-00019565,03/11/21 00:59,03/11/21 00:59,Warrant/Summons Service,Arrest,University  Blvd
2021-00019725,03/11/21 13:00,03/11/21 14:51,Injured/Sick Person,CBE,3900 block of  Denton Service  Ln
2021-00019854,03/11/21 21:00,03/11/21 21:22,Emergency Petition,CBE,8100 block of  La Plata  Dr
2021-00019934,03/12/21 07:30,03/12/21 07:30,Damage to State Property,Active/Pending,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
2021-00020096,03/12/21 22:51,03/12/21 23:10,Assist Other Agency,CBE,7600 block of  Baltimore  Ave
2021-00020217,03/13/21 11:36,03/13/21 11:36,Injured/Sick Person,CBE,4200 block of  Lehigh  Rd
2021-00020221,03/04/21 07:00,03/13/21 11:57,Telephone/EMail Misuse,Warrant Issued,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00020237,03/12/21 15:30,03/13/21 12:30,Damage to State Property,Active/Pending,"Bioscience, Bioscience Research Building at 4066  Campus  Dr"
2021-00020378,03/13/21 21:52,03/13/21 21:52,Assist Other Agency,CBE,8700 block of  Baltimore  Ave
2021-00020508,03/14/21 10:35,03/14/21 10:38,Other Incident,CBE,9  Fraternity  Row
2021-00020949,03/15/21 17:10,03/15/21 17:10,CDS Violation,Arrest,Dartmouth  Ave
2021-00021124,03/16/21 00:45,03/16/21 00:45,CDS Violation,Arrest,
2021-00021426,03/16/21 23:49,03/16/21 23:49,DWI/DUI,Arrest,Baltimore  Ave
2021-00021514,03/17/21 09:55,03/17/21 13:31,Suspicious Activity,CBE,"88, Martin Hall at 4298  Campus  Dr"
2021-00021517,05/30/18 07:00,03/17/21 14:03,Fraud,Unfounded,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00021524,03/17/21 15:57,03/17/21 15:57,Damage to State Property,CBE,4300 block of  Stadium  Dr
2021-00021974,03/18/21 13:00,03/19/21 06:25,Theft from Auto,Investigation Pending,3400 block of  Tulane  Dr
2021-00022004,03/18/21 21:00,03/19/21 10:02,Theft from Auto,Investigation Pending,
2021-00022011,03/19/21 11:27,03/19/21 11:27,Emergency Petition,CBE,"Commons 3, SCC 3, South Campus Commons 3 at 4318  Knox  Rd"
2021-00022208,03/20/21 01:41,03/20/21 01:41,CDS Violation,CBE,University  Blvd
2021-00022421,03/20/21 16:00,03/20/21 19:42,Emergency Petition,CBE,4300 block of  Knox  Rd
2021-00022457,03/20/21 22:10,03/20/21 22:10,DWI/DUI,Arrest,Preinkert  Dr
2021-00022476,03/20/21 22:10,03/21/21 00:41,Other Incident,Arrest,Preinkert  Dr
2021-00022498,03/21/21 04:40,03/21/21 04:40,Check on the  Welfare,CBE,7800 block of  Championship  Ln
2021-00022541,03/21/21 10:22,03/21/21 10:22,Injured/Sick Person,CBE,7800 block of  Alumni  Dr
2021-00022830,03/22/21 13:15,03/22/21 13:24,Assist Other Agency,CBE,9500 block of  Baltimore  Ave
2021-00022854,03/22/21 15:11,03/22/21 15:11,Emergency Petition,CBE,Health Center at 3983  Campus  Dr
2021-00022858,03/22/21 15:43,03/22/21 15:43,Injured/Sick Person,CBE,Health Center at 3983  Campus  Dr
2021-00022915,03/22/21 20:34,03/22/21 20:34,DWI/DUI,Arrest,8000 block of  Regents  Dr
2021-00022969,03/22/21 23:54,03/22/21 23:54,CDS Violation,Arrest,CP AMF Bowling Alley at 9021  Baltimore  Ave
2021-00023005,03/23/21 02:54,03/23/21 02:54,Injured/Sick Person,CBE,"Commons 3, SCC 3, South Campus Commons 3 at 4318  Knox  Rd"
2021-00023111,03/23/21 13:42,03/23/21 13:47,Disorderly Conduct,CBE,8000 block of  Regents  Dr
2021-00023189,01/21/21 12:00,03/23/21 21:27,Theft,Investigation Pending,7500 block of  Regents  Dr
2021-00023221,03/24/21 00:16,03/24/21 00:16,CDS Violation,Arrest,University  Blvd
2021-00023506,03/24/21 23:10,03/24/21 23:10,Suspicious Activity,CBE,Lot K5
2021-00023674,03/25/21 15:41,03/25/21 15:41,Suspicious Person/Auto,CBE,3400 block of  Tulane  Dr
2021-00023728,03/25/21 19:26,03/25/21 19:26,Telephone/EMail Misuse,Active/Pending,6900 block of  Preinkert  Dr
2021-00023739,03/21/21 13:30,03/25/21 19:56,Theft,Active/Pending,7800 block of  Championship  Ln
2021-00023803,03/25/21 23:19,03/25/21 23:19,CDS Violation,Arrest,1  Fraternity  Row
2021-00023961,03/25/21 13:00,03/26/21 14:40,Theft,Summons Issued,"E. A. Fernandez Idea Factory, Idea Factory at 4462  Stadium  Dr"
2021-00023968,03/11/21 01:00,03/26/21 15:29,Dept Property Damage/Loss,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00023975,03/23/21 15:00,03/26/21 16:00,Dept Property Damage/Loss,CBE,1200 block of  Will O Brook Dr Dr
2021-00024023,03/26/21 19:15,03/26/21 19:16,Vandalism,Arrest,Lot 11b
2021-00024339,03/27/21 19:08,03/27/21 19:08,CDS Violation,Arrest,University  Blvd
2021-00024350,03/27/21 20:25,03/27/21 20:25,DWI/DUI,Arrest,University  Blvd
2021-00024357,03/27/21 21:27,03/27/21 21:27,DWI/DUI,Arrest,University  Blvd
2021-00024633,03/29/21 01:25,03/29/21 01:25,DWI/DUI,Arrest,Baltimore  Ave
2021-00024663,03/29/21 06:13,03/29/21 06:13,Traffic Offense,CBE,North Gate at 4306  Campus  Dr
2021-00024727,03/27/21 20:00,03/29/21 12:51,Burglary,Warrant Issued,"Commons 6, SCC 6, South Campus Commons 6 at 6901  Preinkert  Dr"
2021-00024728,03/29/21 12:59,03/29/21 12:59,Assist Other Agency,Active/Pending,4500 block of  College  Ave
2021-00024801,03/29/21 17:30,03/29/21 18:06,Injured/Sick Person,CBE,University  Blvd
2021-00024861,03/29/21 22:33,03/29/21 22:33,DWI/DUI,Arrest,"11, The Hall at 4656  Hotel  Dr"
2021-00024862,03/29/21 22:34,03/29/21 22:34,CDS Violation,Arrest,University  Blvd
2021-00024930,03/30/21 05:32,03/30/21 05:32,Suspicious Person/Auto,CBE,4400 block of  Technology  Dr
2021-00025050,03/30/21 12:10,03/30/21 15:40,Other Incident,CBE,4100 block of  Valley  Dr
2021-00025051,03/30/21 16:42,03/30/21 16:42,Suspicious Person/Auto,Active/Pending,4100 block of  Stadium  Dr
2021-00025276,03/30/21 14:00,03/31/21 12:49,Damage to State Property,CBE,"Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2021-00025536,04/01/21 12:11,04/01/21 12:11,Warrant/Summons Service,Arrest,4500 block of  Knox  Rd
2021-00025678,04/01/21 22:53,04/01/21 22:53,Weapon Violation,Arrest,4000 block of  Stadium  Dr
2021-00025685,04/02/21 01:24,04/02/21 01:24,Injured/Sick Person,CBE,8100 block of  La Plata  Dr
2021-00025712,04/02/21 07:41,04/02/21 07:41,Recovered Stolen Property,Arrest,North Gate at 4306  Campus  Dr
2021-00025939,04/03/21 01:47,04/03/21 01:47,Injured/Sick Person,CBE,4600 block of  College  Ave
2021-00026083,04/03/21 14:39,04/03/21 14:39,Fraud,CBE,7000 block of  Preinkert  Dr
2021-00026151,04/03/21 21:32,04/03/21 21:32,DWI/DUI,Arrest,University  Blvd
2021-00026158,04/03/21 22:34,04/03/21 22:34,CDS Violation,Arrest,8000 block of  Regents  Dr
2021-00026240,04/03/21 17:00,04/04/21 01:28,Theft from Auto,Investigation Pending,4300 block of  Hartwick  Rd
2021-00026450,04/04/21 18:15,04/04/21 18:15,CDS Violation,Arrest,8400 block of  Baltimore  Ave
2021-00026467,04/04/21 21:36,04/04/21 21:36,CDS Violation,Arrest,University  Blvd
2021-00026473,04/04/21 22:37,04/04/21 22:37,DWI/DUI,Arrest,University  Blvd
2021-00026601,04/03/21 13:30,04/05/21 08:44,Burglary,Warrant Issued,4400 block of  Stadium  Dr
2021-00026606,11/30/20 21:00,04/05/21 09:06,Theft,Active/Pending,3400 block of  Tulane  Dr
2021-00026679,04/05/21 16:00,04/05/21 16:14,Trespassing,CBE,"Commons 3, SCC 3, South Campus Commons 3 at 4318  Knox  Rd"
2021-00026769,04/05/21 23:38,04/05/21 23:38,CDS Violation,Arrest,Baltimore  Ave
